Date,Time,Subsystem,Error Code,Error Text,Recovery Class,Major Function,Minor Function,Recommended Action,Root Cause,Times,Debug Text,Source File,
2019/09/09,06:37:49:039,POS,1050171, VXWORKS ERR,DO, GantryCPU, 0, Frt_VXWORKS_ERR,0,0, - Reset Debug Step2: First char not received.Board #9, error counter 1 slot 0,lcsend.c,585,
2019/09/09,06:37:49:008,POS,1050171, VXWORKS ERR,DO, GantryCPU, 0, Frt_VXWORKS_ERR,0,0, - Reset Debug Step2: First char not received.Board #9, error counter 1 slot 3,lcsend.c,585,
2019/09/09,06:37:48:988,POS,1050171, VXWORKS ERR,DO, GantryCPU, 0, Frt_VXWORKS_ERR,0,0, - Reset Debug Step2: First char not received.Board #9, error counter 0 slot 0,lcsend.c,585,
2019/09/09,06:37:48:904,RTA,2400113, CAN communication error,WR, XRPeriDevCtrl, physio signal, TSG0084-Physio_Module,0,0,[EcgManager::timerExpired] Physio Bd or Hubican Bd or CAN failure or Ph Bd not present or CAN cables (Physio to Hubican Module and Hubican Module to VCIM) cut, short: no sample received within last 100ms,XRPAtlasLogger.cpp,114,
2019/09/09,06:37:48:838,POS,1050081, PIB 24V KERNEL POWER,WR, PositionerPower, 0, Frt_PIB_24V_KERNEL_POWER,0,0,  - PIB: 24V kernel Failed,pib_task.c,3182,
2019/09/07,21:25:53:635,RTA,3602083, Front: Chiller: serial communication problem,DO, XRTechMgr, control, Frt_Chiller_serial_communication_problem,0,0, JEDI Error Code: 0813H chiller ser com error Data Related to Error: 0  Tube 1 70C:  OK,  Tube 40C:  Set,  Rotor Thermal Error:  OK,  Inverter thermal Error:  OK,  Tank thermal Error:  OK,  Door Status:  Closed  Phase: STAND_BY,XRPAtlasLogger.cpp,114,
2019/09/07,18:07:35:680,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:07:35:281,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,1,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/07,18:03:42:934,POS,1050293, CLEAR,DO, GantryAxis, 0, Frt_Larm_AXIS_Buddy_Error,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:37:520,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:37:122,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/07,18:03:33:822,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:33:819,POS,1050042, CLEAR,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:32:522,POS,1050042, Front: FRT Larm AXIS POWER,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0,  - vinputNotDetected,motion_control_task.c,4765,
2019/09/07,18:03:32:081,POS,1050293, Front: FRT LARM AXIS BUDDY ERROR DETECTED,DO, GantryAxis, 0, Frt_Larm_AXIS_Buddy_Error,0,0,  - Axis Board : Buddy Error (T:0x4AB7 H:0 U:0) from Motion control error task.,saf_motionerrors.c,970,
2019/09/07,18:03:32:072,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/07,18:03:29:121,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:29:118,POS,1050042, CLEAR,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:28:871,POS,1050042, Front: FRT Larm AXIS POWER,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0,  - vinputNotDetected,motion_control_task.c,4765,
2019/09/07,18:03:28:421,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/07,18:03:25:320,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:25:317,POS,1050042, CLEAR,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0, (null),XRImChainPosFront,212,
2019/09/07,18:03:24:820,POS,1050042, Front: FRT Larm AXIS POWER,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0,  - vinputNotDetected,motion_control_task.c,4765,
2019/09/07,18:03:24:370,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,5,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,20:02:48:678,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/06,20:02:48:287,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,4,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,19:46:11:639,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/06,19:46:11:242,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,3,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,19:46:08:938,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/06,19:46:08:541,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,2,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,19:46:07:589,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/06,19:46:07:191,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,1,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,19:46:03:237,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/06,19:46:02:840,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/06,14:33:09:859,DL ,2800176, Browser MPPS Failed,DO, XRSubSysMgrDL, Browser, Component(s)_Dose_Export,0,0,Dose Export logger - Debug text:Association rejected, Minor code:MC_ASSOCIATION_REJECTED, Note:,MppsDJRLogger.cxx,55,
2019/09/06,14:32:16:822,POS,1050173, CLEAR,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:821,POS,1050173, ARCNET INVALID CMD,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, - RECEIVED COMMAND FAILURE (T:0x0x4A00 H:9a U:0), Frontal Unknown Command.,Frontal_atlas_cmd_interpreter.c,1396,
2019/09/06,14:32:16:821,POS,1050748, CLEAR,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:820,POS,1050168, CLEAR,DO, GantryAxis, 0, Frt_II_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:819,POS,1050148, CLEAR,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:818,POS,1050613, CLEAR,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:623,POS,1050613, PIB 180V MONITORING,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0,  - MPDU: 180V outside limits,poslayer.c,1137,
2019/09/06,14:32:16:622,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, - Repeatability issue on Plane Index=0xfc0,axis Id=9 name=TBL_LONG,Motion=923 mm or 1/10deg,motionMonitoring.c,550,
2019/09/06,14:32:16:595,POS,1050167, CLEAR,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/06,14:32:16:581,POS,1050167, Front: FRT 2ND LEVEL BUMP,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0,  - FRONTAL COLLISION SENSOR ACTIVATED. CLEAR AND TRY AGAIN (4AE6).,saf_safetytask.c,2069,
2019/09/06,14:32:16:571,POS,1050697, EMERGENCY BACKOUT POWER FAILURE,DO, Positioner Power, 0, Frt_Backout_power_or_cables,0,0,  - Emergency Backout Power Failure,poslayer.c,1073,
2019/09/06,14:32:16:560,POS,1050168, Front: FRT Detector BUMP,DO, GantryAxis, 0, Frt_II_BUMP,0,0,  - FRONTAL DETECTOR COLLISION (T:0x4A12 H:0x8 U:0x0000).,saf_safetytask.c,2206,
2019/09/06,14:32:16:551,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,   - ~The RACK is reset by task : SCHEDULER~~,lcmcchip.c,258,
2019/09/06,14:32:16:542,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,  - POS : CPU reset.,error_task.c,4011,
2019/09/06,14:32:16:539,POS,1050297, POS EVENT LOG,DO, 0, 0, Frt_Component(s)_Positioner_Event_logging,0,0, - Positioner CPU Boot Up (TT:2, ed3:0, tfd:1278 det:0.0.0),error_task.c,3997,
2019/09/06,14:29:51:687,DL ,2800005, DL blackens image when reset line becomes active,AR, XRSubSysMgrDL, control, Operator_reset,0,0,(null),XRSubsysMgrDLImpl.cxx,351,
2019/09/06,14:28:02:343,RTA,200055, CLEAR,WR, XRAcqSync, Application Sequencing, Operator,0,0, (null),XRAcqSync,212,
2019/09/06,14:28:02:217,RTA,200055, prep had to be released to restart acquisition,WR, XRAcqSync, Application Sequencing, Operator,0,0, [XRAcqSync::expDeviceStatus] Expose Switch pressed while abort is forced,XRPAtlasLogger.cpp,114,
2019/09/06,14:26:29:468,DL ,2800176, Browser MPPS Failed,DO, XRSubSysMgrDL, Browser, Component(s)_Dose_Export,0,0,Dose Export logger - Debug text:Association rejected, Minor code:MC_ASSOCIATION_REJECTED, Note:,MppsDJRLogger.cxx,55,
2019/09/05,20:48:14:657,POS,1050293, CLEAR,DO, GantryAxis, 0, Frt_Larm_AXIS_Buddy_Error,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:12:436,POS,1050748, CLEAR,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:12:226,POS,1050131, CLEAR,DO, GantryAxis, 0, Frt_Larm_AXIS_POT_ENCODER_FAILURE,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:06:207,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:06:205,POS,1050042, CLEAR,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:05:504,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/05,20:48:05:253,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:03:554,POS,1050119, CLEAR,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:03:356,POS,1050119, Front: FRT Pivot AXIS BUDDY ENCODER,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0,  - buddyEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:48:03:204,POS,1050042, Front: FRT Larm AXIS POWER,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0,  - vinputNotDetected,motion_control_task.c,4765,
2019/09/05,20:48:02:754,POS,1050036, CLEAR,DO, GantryAxis, Intermittent Motion Stop, Frt_Larm_AXIS_MAIN_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:02:703,POS,1050119, CLEAR,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:48:02:294,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Pot Encoder mismatch on axis Id=1 name=FRT_PVT),motion_control_task.c,5342,
2019/09/05,20:48:02:284,POS,1050119, Front: FRT Pivot AXIS BUDDY ENCODER,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0,  - buddyEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:48:02:274,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Pot Encoder mismatch on axis Id=0 name=FRT_L),motion_control_task.c,5342,
2019/09/05,20:48:02:264,POS,1050036, Front: FRT Larm AXIS MAIN ENCODER,DO, GantryAxis, Intermittent Motion Stop, Frt_Larm_AXIS_MAIN_ENCODER,0,0,  - mainEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:48:02:259,POS,1050002, Front: FRT BUDDY Larm AXIS ENABLE,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0,   - disableFromBuddyN,motion_control_task.c,5067,
2019/09/05,20:48:02:164,POS,1050293, Front: FRT LARM AXIS BUDDY ERROR DETECTED,DO, GantryAxis, 0, Frt_Larm_AXIS_Buddy_Error,0,0,  - Axis Board : Buddy Error (T:0x4AB7 H:0 U:0) from Motion control error task.,saf_motionerrors.c,970,
2019/09/05,20:48:02:154,POS,1050131, Front: FRT Larm AXIS POT ENCODER FAILURE,DO, GantryAxis, 0, Frt_Larm_AXIS_POT_ENCODER_FAILURE,0,0, - Axis board, Encoder failure. Motion halted. (T:0x4ABC H:0 U:0x1000),saf_motionerrors.c,1266,
2019/09/05,20:19:48:839,POS,1050293, CLEAR,DO, GantryAxis, 0, Frt_Larm_AXIS_Buddy_Error,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:48:419,POS,1050131, CLEAR,DO, GantryAxis, 0, Frt_Larm_AXIS_POT_ENCODER_FAILURE,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:48:009,POS,1050748, CLEAR,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:39:186,POS,1050002, CLEAR,DO, GantryAxis, No Motion, Frt_BUDDY_Larm_AXIS_ENABLE,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:39:182,POS,1050042, CLEAR,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:38:732,POS,1050036, CLEAR,DO, GantryAxis, Intermittent Motion Stop, Frt_Larm_AXIS_MAIN_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:38:582,POS,1050119, CLEAR,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:38:486,POS,1050036, Front: FRT Larm AXIS MAIN ENCODER,DO, GantryAxis, Intermittent Motion Stop, Frt_Larm_AXIS_MAIN_ENCODER,0,0,  - mainEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:19:38:436,POS,1050042, Front: FRT Larm AXIS POWER,WR, GantryAxis, No Motion, Frt_Larm_AXIS_POWER,0,0,  - vinputNotDetected,motion_control_task.c,4765,
2019/09/05,20:19:37:981,POS,1050036, CLEAR,DO, GantryAxis, Intermittent Motion Stop, Frt_Larm_AXIS_MAIN_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:37:936,POS,1050119, Front: FRT Pivot AXIS BUDDY ENCODER,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0,  - buddyEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:19:37:781,POS,1050119, CLEAR,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0, (null),XRImChainPosFront,212,
2019/09/05,20:19:37:776,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Pot Encoder mismatch on axis Id=1 name=FRT_PVT),motion_control_task.c,5342,
2019/09/05,20:19:37:766,POS,1050119, Front: FRT Pivot AXIS BUDDY ENCODER,DO, GantryAxis, Speed Degraded, Frt_Pivot_AXIS_BUDDY_ENCODER,0,0,  - buddyEncoderDifferentialA,motion_control_task.c,5323,
2019/09/05,20:19:37:757,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Pot Encoder mismatch on axis Id=0 name=FRT_L),motion_control_task.c,5342,
